balance,equity,open_positions,total_deals,pnl,sharpe_ratio,sortino_ratio,win_rate,profit_factor,max_drawdown,avg_drawdown,max_drawdown_duration,avg_trade_profit,avg_win_profit,avg_loss_profit,largest_win,largest_loss,avg_trades_per_day,avg_holding_time_minutes,avg_position_size,risk_reward_ratio,most_traded_symbols,profitable_symbols,calmar_ratio,max_consecutive_losses,avg_loss_streak,var_95,es_95,var_99,es_99,profit_loss_ratio,recovery_factor,risk_of_ruin,tail_ratio,ulcer_index,account
110843.89,110627.76,6,1641,110810.46,4.787,2001514.621,39.31,7.94,0.84,0.45999999999999996,2,67.53,196.5541860465117,-100.42132075471697,100000.0,-2012.38,136.75,0.0,0.785,1.96,"['EURUSD', 'GBPUSD', 'EURGBP', 'USDJPY', 'USDCAD']","['EURUSD', 'GBPUSD', 'EURGBP', 'USDJPY', 'USDCAD']",8127074.466,7,1.5,0.66,0.83,0.79,0.83,1.96,13409312.91,100.0,72.7,0.0031,5033517348
99902.43,99736.0,5,1508,99873.02,4.786,177658.754,38.66,7.03,4.9399999999999995,2.4699999999999998,7,66.23,199.72548885077182,-108.99302631578946,100000.0,-3809.35,125.67,0.0,0.606,1.83,"['EURUSD', 'GBPUSD', 'USDJPY', 'EURGBP', 'USDCAD']","['GBPUSD', 'EURGBP', '']",1577151.116,8,1.4901960784313726,2.94,4.96,4.5600000000000005,4.96,1.83,1969042.96,100.0,17.27,0.0344,90121035
114964.31,114779.35,5,1635,114929.55,4.787,0.0,38.78,9.12,0.4,0.2,2,70.29,203.59107255520507,-83.21876470588235,100000.0,-2690.08,136.25,0.0,0.937,2.45,"['EURUSD', 'GBPUSD', 'USDJPY', 'EURGBP', 'USDCAD']","['EURUSD', 'GBPUSD', 'USDJPY', 'EURGBP', 'USDCAD']",16324681.288,6,1.5044247787610618,0.13,0.38999999999999996,0.33999999999999997,0.38999999999999996,2.45,29114619.04,100.0,351.75,0.0012,90121026
92714.11,92562.89,5,1431,92686.03,4.786,0.0,37.67,5.38,13.139999999999999,6.569999999999999,5,64.77,211.2426345083488,-134.0110759493671,100000.0,-7781.400000000001,119.25,0.0,0.665,1.58,"['EURUSD', 'GBPUSD', 'EURGBP', 'USDJPY', 'USDCAD']","['GBPUSD', 'EURGBP', 'USDJPY', 'USDCAD', '']",620932.429,5,1.4495412844036697,7.340000000000001,14.77,13.29,14.77,1.58,627369.27,100.0,7.47,0.0939,5033517327
116480.33,116317.6,6,1702,116462.95,4.786,0.0,38.19,9.5,0.95,0.47000000000000003,2,68.43,200.25755384615388,-72.89606382978722,100000.0,-1377.31,141.83,0.0,0.866,2.75,"['EURUSD', 'GBPUSD', 'USDJPY', 'EURGBP', 'USDCAD']","['EURUSD', 'GBPUSD', 'USDJPY', 'EURGBP', 'USDCAD']",13886199.386,8,1.5932203389830508,0.42,0.9400000000000001,0.83,0.9400000000000001,2.75,12452855.67,100.0,110.15,0.0034,10005560446
1193.0,1176.44,6,1389,1191.66,5.293,17313.493,39.45,3.67,13.569999999999999,5.4399999999999995,2,0.86,2.989470802919708,-3.435153846153846,1000.0,-91.95,126.27,0.0,0.023,0.87,"['EURUSD', 'GBPUSD', 'EURGBP', 'USDJPY', 'USDCAD']","['EURUSD', 'GBPUSD', 'EURGBP', 'USDJPY', 'USDCAD']",154816.031,7,1.5853658536585367,8.3,12.120000000000001,11.35,12.120000000000001,0.87,9835.01,100.0,6.86,0.0417,90168390
1025.77,1014.66,6,1326,1024.43,5.292,14728.178,39.82,2.99,15.36,7.68,7,0.77,2.913011363636364,-4.352881355932204,1000.0,-107.88,120.55,0.0,0.023,0.67,"['EURUSD', 'GBPUSD', 'EURGBP', 'USDJPY', 'USDCAD']","['GBPUSD', 'EURGBP', 'USDJPY', 'USDCAD', '']",136874.764,6,1.6388888888888888,10.6,16.07,14.97,16.07,0.67,6365.79,100.0,5.79,0.1162,90168444
1291.31,1274.79,6,1371,1289.79,5.294,0.0,39.53,3.77,2.7199999999999998,1.3599999999999999,2,0.94,3.2378782287822876,-3.7511290322580644,1000.0,-58.77,124.64,0.0,0.03,0.86,"['EURUSD', 'GBPUSD', 'USDJPY', 'EURGBP', 'USDCAD']","['EURUSD', 'GBPUSD', 'USDJPY', 'EURGBP', 'USDCAD']",684003.919,7,1.4761904761904763,1.2,2.55,2.2800000000000002,2.55,0.86,50562.2,100.0,41.29,0.0103,5033564020
1091.68,1087.31,4,1209,1087.31,5.294,6050.249,39.12,3.23,12.67,6.329999999999999,5,0.9,3.331183932346723,-3.970243902439024,1000.0,-78.05,109.91,0.0,0.024,0.84,"['EURUSD', 'GBPUSD', 'USDJPY', 'EURGBP', 'USDCAD']","['EURUSD', 'GBPUSD', 'USDJPY', 'EURGBP', 'USDCAD']",50870.477,7,1.5185185185185186,8.37,12.04,11.31,12.04,0.84,9032.07,100.0,6.95,0.0567,5033564044
1071.65,1060.41,6,1325,1070.31,5.292,17766.734,39.55,3.37,12.06,6.03,5,0.81,2.903511450381679,-3.638145161290323,1000.0,-58.43,120.45,0.0,0.023,0.8,"['EURUSD', 'GBPUSD', 'EURGBP', 'USDJPY', 'USDCAD']","['GBPUSD', 'EURGBP', 'USDJPY', 'USDCAD', '']",174170.892,5,1.5308641975308641,7.5600000000000005,11.68,10.86,11.68,0.8,9160.59,100.0,7.69,0.0621,90168510
